Pelicula,Año de estreno,Ganancia
Benny & Joon,1993,215212054.2
Maniac,2012,151565252.68
Clerks II,2006,464440686.09999996
The Ridiculous 6,2015,742932508.37
Dr. Dolittle 2,2001,474272201.43
Talladega Nights: The Ballad of Ricky Bobby,2006,150383074.62
Undisputed II: Last Man Standing,2006,131325057.58000001
Takers,2010,290833437.70000005
The Many Adventures of Winnie the Pooh,1977,93407754.62
The Adventures of Pluto Nash,2002,378973398.59999996
Dude Whereâ€™s My Car?,2000,585242580.8
Burlesque,2010,70093097.7
The Family Man,2000,27051441.0
The Game Plan,2007,201890392.86
Puss in Boots: The Three Diablos,2011,314499561.74
Love Happens,2009,90726363.5
Extremely Loud & Incredibly Close,2011,19374783.34
Wild Hogs,2007,178384891.48
Battle of Los Angeles,2011,175692799.53
Push,2009,152169520.831
The Thirteenth Floor,1999,34652445.83
Dinner for One,1963,153803175.0
Grindhouse,2007,157766362.86
Kill Me Three Times,2015,262787366.46999997
Black Knight,2001,-10585975.128999999
The Interpreter,2005,9826230.989999998
The Texas Chain Saw Massacre,1974,41090818.39
Run Fatboy Run,2007,-49285578.607
Herbie Goes To Monte Carlo,1977,264826995.51
Presto,2008,49636643.04
Behind Enemy Lines,2001,-8511853.29
Vehicle 19,2013,89300166.69999999
Disconnect,2012,361671901.34000003
I Give It a Year,2013,93092530.78999999
Broken Arrow,1996,22925972.100000024
People Like Us,2012,16185542.039999995
Get Shorty,1995,673368695.4000001
Saw VI,2009,88155944.25
Murder by Numbers,2002,9851323.23
Frontera,2014,143411386.5
Star Wars: The Clone Wars,2008,102069726.42
West Side Story,1961,123466756.58000001
The Brothers Grimm,2005,65791413.35999999
Jeepers Creepers,2001,259636915.59
The Land Before Time VII: The Stone of Cold Fire,2000,70957711.686
Alfie,2004,39059548.021000005
Suffragette,2015,199725001.51000002
Easy Rider,1969,37704847.97
Evil Under the Sun,1982,108631307.41
Straw Dogs,2011,603117.0609999998
The Cobbler,2014,70620266.6
Blue Ruin,2014,83577496.76
The Best Exotic Marigold Hotel,2011,36185257.12
Sweet Home Alabama,2002,571671287.8
45 Years,2015,26285673.58
The Recruit,2003,3473928.09
Elizabeth,1998,-14798333.199999996
Sniper 3,2004,-31240359.386
For Love or Money,1993,254400.3999999985
Piranha 3DD,2012,55406524.71999999
A Haunted House,2013,-3553886.1099999994
Crash,1996,22708149.279999997
Saw V,2008,50392278.580000006
Child's Play,1988,11590707.7
Escape from L.A.,1996,-10295290.700000003
The Boston Strangler,1968,105165883.32
The Messengers,2007,40355648.84
The Green Inferno,2014,-11341497.649999999
The Pursuit of Happyness,2006,116890921.89000002
Transformers,2007,1899488.5600000024
Gremlins 2: The New Batch,1990,2434822.3740000003
Magic in the Moonlight,2014,124200315.28
Assassins,1995,4009050.1099999994
Hostage,2005,4200017.1
King Solomon's Mines,1985,-14512838.16
Kite,2014,-661723.881
King Kong,1976,-5668946.68599
The 6th Day,2000,-6241673.829999999
The Dukes of Hazzard,2005,-3386049.1999999993
Carlito's Way,1993,3318148.188
Dirty Harry,1971,67855501.16
The Love Guru,2008,30679395.77
The Dark Crystal,1982,21778078.0
Out of Sight,1998,-2978794.1099999994
A Perfect Getaway,2009,22304797.629999995
Sneakers,1992,-17124655.838999998
My Favorite Martian,1999,-19178392.369999997
Spread,2009,-426269.9299999997
Conquest of the Planet of the Apes,1972,23571989.19
The Bucket List,2007,80045446.26
Barely Lethal,2015,577962.129999999
Speed Racer,2008,-17053345.23
Going the Distance,2010,53418254.09
Shall We Dance?,2004,-2371508.6209230004
La Rafle,2010,-13910684.149999995
The Return of the Living Dead,1985,-2950170.710000001
Big Daddy,1999,46081875.56
Alexander and the Terrible Horrible No Good Very Bad Day,2014,-23528312.347999997
The Quick and the Dead,1995,44770374.62
Dark Blue,2002,-6516396.86
Freedomland,2006,52342473.99000001
The Time Machine,2002,-2257688.421
Let's Make Love,1960,-7250939.539999999
Macbeth,2015,-2452845.67
La migliore offerta,2013,-317326.6599999999
Witness,1985,-3719579.460000001
Lung fu moon,2006,8498268.146
Extraction,2015,1770063.1099999994
The People vs. Larry Flynt,1996,7729339.9756
The Homesman,2014,-345432.44299999997
The Stepford Wives,2004,6868038.732
Deck the Halls,2006,130891849.79299998
Son of a Gun,2014,-12329300.088370001
Fatal Attraction,1987,-15400751.244
Horton Hears a Who!,2008,-9590226.186
Hanna,2011,-5310838.007294
Hodejegerne,2011,374162.2068999999
Primer,2004,90009385.37
Bringing Out the Dead,1999,95694799.6786
True Romance,1993,-23333057.2705
Whiteout,2009,79845483.25
Saw III,2006,11776829.087000001
The Medallion,2003,-11333914.89719
Silent Hill: Revelation 3D,2012,-2846374.113713
Thirteen,2003,18337421.354
Home on the Range,2004,-14591710.634999998
Dark Star,1974,3094069.3219999997
Breakdown,1997,-11394537.074667001
Sister Act,1992,-7001997.3089999985
Sister Act 2: Back in the Habit,1993,-6027274.756
Skin Trade,2014,783575.1229999997
Gnomeo & Juliet,2011,-5584541.012800001
The Hitcher,2007,-13710930.134
The Iceman,2012,-1422775.817583
Judgment Night,1993,4.748721410000002
Accidental Love,2015,10102875.35
Dead Man Walking,1995,-117201.29359999998
Swingers,1996,166356500.81
Stone,2010,2327134.6686000004
1492: Conquest of Paradise,1992,12783558.024999999
Carnage,2011,-18414789.4209
Untraceable,2008,474872.1407
Private School,1983,-4748.721409999998
Passenger 57,1992,-61663376.438
Transformers: Dark of the Moon,2011,29347098.297
A Walk in the Clouds,1995,8338754.791000001
The Pacific,2010,19685307.93
Forces of Nature,1999,223513887.60000002
A River Runs Through It,1992,59303086.17
Courage Under Fire,1996,1166009242.7
The Driver,1978,622046244.0999999
The Ward,2010,377929700.24
Blast from the Past,1999,285114512.1
Planet Hulk,2010,129832057.60000001
